Fecha,Ciudad,Casos_Confirmados,Fallecidos,Recuperados
2020-09-30,Cali,37,0,32
2020-10-01,Cali,42,1,39
2020-10-02,Cali,71,1,64
2020-10-03,Cali,53,1,43
2020-10-04,Cali,54,0,46
2020-10-05,Cali,48,0,40
2020-10-06,Cali,45,1,41
2020-10-07,Cali,57,1,46
2020-10-08,Cali,57,0,54
2020-10-09,Cali,56,0,50
2020-10-10,Cali,46,0,43
2020-10-11,Cali,67,1,60
2020-10-12,Cali,61,1,54
2020-10-13,Cali,56,1,47
2020-10-14,Cali,59,1,55
2020-10-15,Cali,58,0,50
2020-10-16,Cali,43,0,40
2020-10-17,Cali,72,1,64
2020-10-18,Cali,47,0,41
2020-10-19,Cali,49,1,45
2020-10-20,Cali,44,0,36
2020-10-21,Cali,39,0,36
2020-10-22,Cali,38,0,32
2020-10-23,Cali,57,0,56
2020-10-24,Cali,52,1,49
2020-10-25,Cali,74,1,70
2020-10-26,Cali,28,0,28
2020-10-27,Cali,54,0,46
2020-10-28,Cali,41,1,33
2020-10-29,Cali,46,0,41
2020-10-30,Cali,35,0,32
2020-10-31,Cali,42,0,39
2020-11-01,Cali,57,1,49
2020-11-02,Cali,46,0,42
2020-11-03,Cali,46,1,40
2020-11-04,Cali,38,0,35
2020-11-05,Cali,38,0,35
2020-11-06,Cali,45,1,40
2020-11-07,Cali,50,0,46
2020-11-08,Cali,52,1,44
2020-11-09,Cali,41,1,39
2020-11-10,Cali,31,0,30
2020-11-11,Cali,39,0,36
2020-11-12,Cali,50,1,41
2020-11-13,Cali,41,0,35
2020-11-14,Cali,45,1,38
2020-11-15,Cali,30,0,28
2020-11-16,Cali,37,0,33
2020-11-17,Cali,43,1,35
2020-11-18,Cali,42,0,37
2020-11-19,Cali,48,0,46
2020-11-20,Cali,36,0,34
2020-11-21,Cali,48,1,45
2020-11-22,Cali,46,1,45
2020-11-23,Cali,35,0,33
2020-11-24,Cali,28,0,26
2020-11-25,Cali,29,0,25
2020-11-26,Cali,54,0,50
2020-11-27,Cali,44,0,42
2020-11-28,Cali,34,0,30
2020-11-29,Cali,42,0,39
2020-11-30,Cali,33,0,31
2020-12-01,Cali,29,0,24
2020-12-02,Cali,47,1,41
2020-12-03,Cali,29,0,24
2020-12-04,Cali,32,0,29
2020-12-05,Cali,35,0,32
2020-12-06,Cali,47,1,46
2020-12-07,Cali,23,0,23
2020-12-08,Cali,39,0,33
2020-12-09,Cali,25,0,22
2020-12-10,Cali,43,0,36
2020-12-11,Cali,50,1,44
2020-12-12,Cali,24,0,21
2020-12-13,Cali,31,0,27
2020-12-14,Cali,36,0,29
2020-12-15,Cali,25,0,21
2020-12-16,Cali,47,1,41
2020-12-17,Cali,39,0,36
2020-12-18,Cali,37,0,33
2020-12-19,Cali,42,0,38
2020-12-20,Cali,44,0,37
2020-12-21,Cali,56,0,47
2020-12-22,Cali,35,0,35
2020-12-23,Cali,33,0,31
2020-12-24,Cali,23,0,20
2020-12-25,Cali,38,0,38
2020-12-26,Cali,33,0,30
2020-12-27,Cali,40,0,36
2020-12-28,Cali,25,0,25
2020-12-29,Cali,39,0,34
2020-12-30,Cali,37,0,33
2020-12-31,Cali,22,0,20
2021-01-01,Cali,46,1,38
2021-01-02,Cali,48,1,44
2021-01-03,Cali,40,0,35
2021-01-04,Cali,20,0,17
2021-01-05,Cali,39,0,36
2021-01-06,Cali,40,0,35
2021-01-07,Cali,37,0,34
2021-01-08,Cali,27,0,24
2021-01-09,Cali,35,0,32
2021-01-10,Cali,27,0,25
2021-01-11,Cali,49,0,39
2021-01-12,Cali,47,0,42
2021-01-13,Cali,45,0,37
2021-01-14,Cali,39,1,37
2021-01-15,Cali,55,1,49
2021-01-16,Cali,40,1,37
2021-01-17,Cali,34,0,30
2021-01-18,Cali,42,0,39
2021-01-19,Cali,40,0,38
2021-01-20,Cali,31,0,29
2021-01-21,Cali,37,0,30
2021-01-22,Cali,60,1,49
2021-01-23,Cali,39,0,37
2021-01-24,Cali,55,1,53
2021-01-25,Cali,26,0,23
2021-01-26,Cali,52,1,46
2021-01-27,Cali,30,0,27
2021-01-28,Cali,47,0,38
2021-01-29,Cali,16,0,14
2021-01-30,Cali,41,0,37
2021-01-31,Cali,40,0,43
2021-02-01,Cali,36,0,33
2021-02-02,Cali,32,0,28
2021-02-03,Cali,61,1,56
2021-02-04,Cali,46,1,42
2021-02-05,Cali,34,0,31
2021-02-06,Cali,47,0,42
2021-02-07,Cali,40,1,34
2021-02-08,Cali,26,0,23
2021-02-09,Cali,26,0,22
2021-02-10,Cali,28,0,24
2021-02-11,Cali,34,0,33
2021-02-12,Cali,20,0,15
2021-02-13,Cali,45,1,37
2021-02-14,Cali,40,0,37
2021-02-15,Cali,36,0,33
2021-02-16,Cali,34,0,34
2021-02-17,Cali,44,0,42
2021-02-18,Cali,46,1,40
2021-02-19,Cali,55,1,48
2021-02-20,Cali,47,0,45
2021-02-21,Cali,70,0,65
2021-02-22,Cali,61,0,52
2021-02-23,Cali,32,0,26
2021-02-24,Cali,63,1,51
2021-02-25,Cali,71,1,57
2021-02-26,Cali,72,0,62
2021-02-27,Cali,67,1,61
2021-02-28,Cali,60,0,50
2021-03-01,Cali,66,1,55
2021-03-02,Cali,39,0,33
2021-03-03,Cali,54,1,45
2021-03-04,Cali,66,0,64
2021-03-05,Cali,63,1,58
2021-03-06,Cali,39,0,36
2021-03-07,Cali,73,2,60
2021-03-08,Cali,66,1,65
2021-03-09,Cali,59,0,57
2021-03-10,Cali,43,0,40
2021-03-11,Cali,75,1,66
2021-03-12,Cali,55,1,52
2021-03-13,Cali,54,1,46
2021-03-14,Cali,41,0,39
2021-03-15,Cali,40,0,37
2021-03-16,Cali,78,1,68
2021-03-17,Cali,98,1,94
2021-03-18,Cali,71,2,57
2021-03-19,Cali,45,1,41
2021-03-20,Cali,85,1,74
2021-03-21,Cali,39,0,34
2021-03-22,Cali,61,1,59
2021-03-23,Cali,52,1,49
2021-03-24,Cali,80,1,70
2021-03-25,Cali,71,1,65
2021-03-26,Cali,58,0,54
2021-03-27,Cali,90,1,78
2021-03-28,Cali,44,1,37
2021-03-29,Cali,36,0,34
2021-03-30,Cali,58,1,53
2021-03-31,Cali,52,0,46
2021-04-01,Cali,53,0,45
2021-04-02,Cali,108,2,101
2021-04-03,Cali,57,0,51
2021-04-04,Cali,66,1,57
2021-04-05,Cali,41,0,36
2021-04-06,Cali,102,2,89
2021-04-07,Cali,54,0,48
2021-04-08,Cali,60,0,58
2021-04-09,Cali,79,1,68
2021-04-10,Cali,67,1,59
2021-04-11,Cali,46,0,42
2021-04-12,Cali,46,1,38
2021-04-13,Cali,84,1,74
2021-04-14,Cali,34,0,32
2021-04-15,Cali,90,1,83
2021-04-16,Cali,81,1,64
2021-04-17,Cali,55,1,44
2021-04-18,Cali,100,1,87
2021-04-19,Cali,95,1,85
2021-04-20,Cali,71,1,67
2021-04-21,Cali,59,1,54
2021-04-22,Cali,62,0,58
2021-04-23,Cali,79,1,68
2021-04-24,Cali,74,1,65
2021-04-25,Cali,75,1,65
2021-04-26,Cali,92,1,77
2021-04-27,Cali,100,3,87
2021-04-28,Cali,86,1,77
2021-04-29,Cali,64,1,58
2021-04-30,Cali,76,1,72
2021-05-01,Cali,108,2,82
2021-05-02,Cali,63,1,55
2021-05-03,Cali,64,1,56
2021-05-04,Cali,41,0,32
2021-05-05,Cali,59,0,53
2021-05-06,Cali,91,2,85
2021-05-07,Cali,132,1,124
2021-05-08,Cali,73,1,64
2021-05-09,Cali,88,1,76
2021-05-10,Cali,70,1,65
2021-05-11,Cali,94,1,77
2021-05-12,Cali,87,1,83
2021-05-13,Cali,99,1,86
2021-05-14,Cali,105,2,100
2021-05-15,Cali,110,3,101
2021-05-16,Cali,111,2,100
2021-05-17,Cali,62,1,60
2021-05-18,Cali,89,1,85
2021-05-19,Cali,78,2,67
2021-05-20,Cali,84,1,75
2021-05-21,Cali,55,1,46
2021-05-22,Cali,103,3,92
2021-05-23,Cali,104,1,89
2021-05-24,Cali,79,0,69
2021-05-25,Cali,103,2,95
2021-05-26,Cali,126,2,115
2021-05-27,Cali,70,0,64
2021-05-28,Cali,89,2,77
2021-05-29,Cali,112,3,98
2021-05-30,Cali,109,1,108
2021-05-31,Cali,90,1,87
2021-06-01,Cali,105,2,100
2021-06-02,Cali,68,1,62
2021-06-03,Cali,96,2,90
2021-06-04,Cali,83,1,74
2021-06-05,Cali,86,0,81
2021-06-06,Cali,137,3,120
2021-06-07,Cali,85,1,73
2021-06-08,Cali,119,2,103
2021-06-09,Cali,83,0,69
2021-06-10,Cali,51,1,49
2021-06-11,Cali,85,1,77
2021-06-12,Cali,121,1,117
2021-06-13,Cali,103,2,91
2021-06-14,Cali,120,2,115
2021-06-15,Cali,105,1,89
2021-06-16,Cali,138,2,107
2021-06-17,Cali,119,2,110
2021-06-18,Cali,75,1,68
2021-06-19,Cali,127,2,124
2021-06-20,Cali,108,2,94
2021-06-21,Cali,99,1,87
2021-06-22,Cali,164,4,153
2021-06-23,Cali,61,1,48
2021-06-24,Cali,101,2,89
2021-06-25,Cali,102,1,98
2021-06-26,Cali,109,1,92
2021-06-27,Cali,119,2,106
2021-06-28,Cali,124,2,113
2021-06-29,Cali,87,2,81
2021-06-30,Cali,79,1,68
2021-07-01,Cali,136,2,123
2021-07-02,Cali,131,1,118
2021-07-03,Cali,97,2,89
2021-07-04,Cali,103,1,99
2021-07-05,Cali,102,2,102
2021-07-06,Cali,90,1,78
2021-07-07,Cali,103,2,91
2021-07-08,Cali,99,1,91
2021-07-09,Cali,110,2,96
2021-07-10,Cali,115,2,107
2021-07-11,Cali,101,2,89
2021-07-12,Cali,99,2,89
2021-07-13,Cali,86,1,67
2021-07-14,Cali,92,2,84
2021-07-15,Cali,139,3,118
2021-07-16,Cali,120,1,110
2021-07-17,Cali,73,1,68
2021-07-18,Cali,107,2,93
2021-07-19,Cali,35,0,31
2021-07-20,Cali,67,1,59
2021-07-21,Cali,79,1,68
2021-07-22,Cali,90,1,82
2021-07-23,Cali,78,1,73
2021-07-24,Cali,99,2,87
2021-07-25,Cali,98,2,88
2021-07-26,Cali,99,2,95
2021-07-27,Cali,67,1,59
2021-07-28,Cali,104,1,91
2021-07-29,Cali,147,3,132
2021-07-30,Cali,99,1,92
2021-07-31,Cali,78,1,74
2021-08-01,Cali,105,1,86
2021-08-02,Cali,97,1,90
2021-08-03,Cali,60,1,58
2021-08-04,Cali,169,4,152
2021-08-05,Cali,111,2,88
2021-08-06,Cali,125,2,115
2021-08-07,Cali,119,2,111
2021-08-08,Cali,120,2,106
2021-08-09,Cali,72,1,59
2021-08-10,Cali,87,1,86
2021-08-11,Cali,137,2,131
2021-08-12,Cali,113,2,111
2021-08-13,Cali,86,2,74
2021-08-14,Cali,77,1,76
2021-08-15,Cali,114,2,103
2021-08-16,Cali,101,1,91
2021-08-17,Cali,89,1,80
2021-08-18,Cali,111,2,105
2021-08-19,Cali,124,2,100
2021-08-20,Cali,91,1,74
2021-08-21,Cali,66,1,57
2021-08-22,Cali,68,1,62
2021-08-23,Cali,105,2,92
2021-08-24,Cali,52,1,46
2021-08-25,Cali,100,2,98
2021-08-26,Cali,88,1,75
2021-08-27,Cali,110,2,97
2021-08-28,Cali,74,1,61
2021-08-29,Cali,102,2,92
2021-08-30,Cali,80,0,71
2021-08-31,Cali,116,1,97
2021-09-01,Cali,85,2,85
2021-09-02,Cali,85,1,75
2021-09-03,Cali,112,2,94
2021-09-04,Cali,101,2,93
2021-09-05,Cali,120,1,107
2021-09-06,Cali,100,2,87
2021-09-07,Cali,83,1,75
2021-09-08,Cali,133,2,114
2021-09-09,Cali,75,1,64
2021-09-10,Cali,84,1,70
2021-09-11,Cali,80,1,67
2021-09-12,Cali,105,1,95
2021-09-13,Cali,112,1,101
2021-09-14,Cali,103,2,86
2021-09-15,Cali,71,1,62
2021-09-16,Cali,66,1,59
2021-09-17,Cali,68,1,61
2021-09-18,Cali,70,1,61
2021-09-19,Cali,83,2,70
2021-09-20,Cali,50,1,44
2021-09-21,Cali,118,3,92
2021-09-22,Cali,95,2,82
2021-09-23,Cali,87,1,71
2021-09-24,Cali,98,2,95
2021-09-25,Cali,47,1,37
2021-09-26,Cali,43,0,35
2021-09-27,Cali,91,1,78
2021-09-28,Cali,115,1,105
2021-09-29,Cali,76,1,63
2021-09-30,Cali,78,1,71
2021-10-01,Cali,81,1,73
2021-10-02,Cali,94,1,82
2021-10-03,Cali,76,1,63
2021-10-04,Cali,100,2,87
2021-10-05,Cali,86,1,75
2021-10-06,Cali,81,1,77
2021-10-07,Cali,97,2,90
2021-10-08,Cali,75,1,73
2021-10-09,Cali,65,1,57
2021-10-10,Cali,100,1,95
2021-10-11,Cali,83,1,74
2021-10-12,Cali,79,2,73
2021-10-13,Cali,68,1,62
2021-10-14,Cali,101,2,89
2021-10-15,Cali,73,1,62
2021-10-16,Cali,80,1,66
2021-10-17,Cali,66,1,56
2021-10-18,Cali,79,1,74
2021-10-19,Cali,84,1,71
2021-10-20,Cali,82,1,74
2021-10-21,Cali,51,1,49
2021-10-22,Cali,84,1,74
2021-10-23,Cali,55,1,51
2021-10-24,Cali,51,1,39
2021-10-25,Cali,85,2,72
2021-10-26,Cali,110,2,98
2021-10-27,Cali,69,1,61
2021-10-28,Cali,56,1,52
2021-10-29,Cali,59,1,52
2021-10-30,Cali,96,1,89
2021-10-31,Cali,76,2,69
2021-11-01,Cali,66,1,51
2021-11-02,Cali,59,1,56
2021-11-03,Cali,84,1,79
2021-11-04,Cali,43,0,36
2021-11-05,Cali,46,1,43
2021-11-06,Cali,38,1,33
2021-11-07,Cali,60,0,54
2021-11-08,Cali,63,0,54
2021-11-09,Cali,73,1,62
2021-11-10,Cali,62,1,51
2021-11-11,Cali,55,1,48
2021-11-12,Cali,50,1,39
2021-11-13,Cali,86,2,73
2021-11-14,Cali,48,0,45
2021-11-15,Cali,64,1,58
2021-11-16,Cali,31,0,25
2021-11-17,Cali,40,0,36
2021-11-18,Cali,64,1,60
2021-11-19,Cali,74,2,66
2021-11-20,Cali,44,0,43
2021-11-21,Cali,29,0,26
2021-11-22,Cali,70,1,64
2021-11-23,Cali,55,0,42
2021-11-24,Cali,46,0,34
2021-11-25,Cali,75,0,61
2021-11-26,Cali,53,0,46
2021-11-27,Cali,62,2,54
2021-11-28,Cali,27,0,26
2021-11-29,Cali,34,0,30
2021-11-30,Cali,31,0,27
2021-12-01,Cali,39,0,34
2021-12-02,Cali,55,0,47
2021-12-03,Cali,51,0,44
2021-12-04,Cali,65,0,62
2021-12-05,Cali,60,1,57
2021-12-06,Cali,56,1,53
2021-12-07,Cali,40,0,33
2021-12-08,Cali,63,1,53
2021-12-09,Cali,34,0,30
2021-12-10,Cali,44,1,40
2021-12-11,Cali,33,0,29
2021-12-12,Cali,38,0,34
2021-12-13,Cali,38,0,32
2021-12-14,Cali,31,0,28
2021-12-15,Cali,24,0,21
2021-12-16,Cali,31,0,29
2021-12-17,Cali,37,0,31
2021-12-18,Cali,46,0,42
2021-12-19,Cali,37,0,36
2021-12-20,Cali,42,0,34
2021-12-21,Cali,26,0,20
2021-12-22,Cali,46,0,42
2021-12-23,Cali,35,0,33
2021-12-24,Cali,40,0,32
2021-12-25,Cali,22,0,19
2021-12-26,Cali,21,0,18
2021-12-27,Cali,22,0,19
2021-12-28,Cali,28,0,23
2021-12-29,Cali,32,0,28
2021-12-30,Cali,23,0,21
2021-12-31,Cali,22,0,19
2022-01-01,Cali,28,0,25
2022-01-02,Cali,27,0,22
2022-01-03,Cali,24,0,20
2022-01-04,Cali,20,0,18
2022-01-05,Cali,19,0,16
2022-01-06,Cali,34,0,30
2022-01-07,Cali,21,0,20
2022-01-08,Cali,27,0,26
2022-01-09,Cali,19,0,16
2022-01-10,Cali,21,0,19
2022-01-11,Cali,17,0,14
2022-01-12,Cali,30,0,26
2022-01-13,Cali,20,0,16
2022-01-14,Cali,26,0,23
2022-01-15,Cali,12,0,10
2022-01-16,Cali,19,0,18
2022-01-17,Cali,19,0,17
2022-01-18,Cali,18,0,16
2022-01-19,Cali,12,0,10
2022-01-20,Cali,28,0,26
2022-01-21,Cali,14,0,13
2022-01-22,Cali,7,0,5
2022-01-23,Cali,22,0,18
2022-01-24,Cali,20,0,18
2022-01-25,Cali,17,0,14
2022-01-26,Cali,12,0,10
2022-01-27,Cali,21,0,19
2022-01-28,Cali,8,0,7
2022-01-29,Cali,12,0,10
2022-01-30,Cali,20,0,18
2022-01-31,Cali,12,0,10
2022-02-01,Cali,10,0,9
2022-02-02,Cali,16,0,13
2022-02-03,Cali,12,0,10
2022-02-04,Cali,13,0,11
2022-02-05,Cali,10,0,7
2022-02-06,Cali,13,0,11
2022-02-07,Cali,11,0,9
2022-02-08,Cali,13,0,10
2022-02-09,Cali,8,0,7
2022-02-10,Cali,8,0,7
2022-02-11,Cali,11,0,9
2022-02-12,Cali,14,0,12
2022-02-13,Cali,8,0,6
2022-02-14,Cali,8,0,8
2022-02-15,Cali,10,0,8
2022-02-16,Cali,9,0,8
2022-02-17,Cali,5,0,4
2022-02-18,Cali,10,0,9
2022-02-19,Cali,10,0,9
2022-02-20,Cali,5,0,4
2022-02-21,Cali,10,0,9
2022-02-22,Cali,4,0,3
2022-02-23,Cali,6,0,5
2022-02-24,Cali,8,0,7
2022-02-25,Cali,6,0,5
2022-02-26,Cali,9,0,8
2022-02-27,Cali,9,0,7
2022-02-28,Cali,6,0,5
2022-03-01,Cali,11,0,9
2022-03-02,Cali,8,0,7
2022-03-03,Cali,8,0,7
2022-03-04,Cali,6,0,6
2022-03-05,Cali,10,0,8
2022-03-06,Cali,6,0,5
2022-03-07,Cali,7,0,6
2022-03-08,Cali,7,0,6
2022-03-09,Cali,5,0,4
2022-03-10,Cali,5,0,4
2022-03-11,Cali,5,0,4
2022-03-12,Cali,4,0,3
2022-03-13,Cali,6,0,5
2022-03-14,Cali,5,0,4
2022-03-15,Cali,4,0,3
2022-03-16,Cali,4,0,3
2022-03-17,Cali,5,0,4
2022-03-18,Cali,4,0,3
2022-03-19,Cali,7,0,6
2022-03-20,Cali,3,0,2
2022-03-21,Cali,9,0,8
2022-03-22,Cali,3,0,2
2022-03-23,Cali,7,0,6
2022-03-24,Cali,7,0,6
2022-03-25,Cali,6,0,5
2022-03-26,Cali,4,0,3
2022-03-27,Cali,8,0,6
2022-03-28,Cali,5,0,4
2022-03-29,Cali,8,0,6
2022-03-30,Cali,7,0,6
2022-03-31,Cali,3,0,2
2022-04-01,Cali,7,0,6
2022-04-02,Cali,4,0,3
2022-04-03,Cali,9,0,8
2022-04-04,Cali,8,0,7
2022-04-05,Cali,5,0,4
2022-04-06,Cali,5,0,4
2022-04-07,Cali,7,0,6
2022-04-08,Cali,5,0,4
2022-04-09,Cali,7,0,5
2022-04-10,Cali,7,0,5
2022-04-11,Cali,6,0,4
2022-04-12,Cali,5,0,4
2022-04-13,Cali,8,0,7
2022-04-14,Cali,9,0,7
2022-04-15,Cali,7,0,6
2022-04-16,Cali,5,0,4
2022-04-17,Cali,11,0,10
2022-04-18,Cali,11,0,9
2022-04-19,Cali,12,0,10
2022-04-20,Cali,9,0,9
2022-04-21,Cali,11,0,10
2022-04-22,Cali,10,0,9
2022-04-23,Cali,11,0,10
2022-04-24,Cali,8,0,7
2022-04-25,Cali,11,0,10
2022-04-26,Cali,12,0,10
2022-04-27,Cali,12,0,9
2022-04-28,Cali,10,0,9
2022-04-29,Cali,10,0,8
2022-04-30,Cali,11,0,9
2022-05-01,Cali,17,0,15
2022-05-02,Cali,12,0,11
2022-05-03,Cali,6,0,5
2022-05-04,Cali,9,0,8
2022-05-05,Cali,12,0,11
2022-05-06,Cali,14,0,11
2022-05-07,Cali,13,0,10
2022-05-08,Cali,18,0,15
2022-05-09,Cali,14,0,12
2022-05-10,Cali,20,0,17
2022-05-11,Cali,18,0,16
2022-05-12,Cali,18,0,16
2022-05-13,Cali,6,0,5
2022-05-14,Cali,15,0,12
2022-05-15,Cali,9,0,7
2022-05-16,Cali,19,0,17
2022-05-17,Cali,18,0,16
2022-05-18,Cali,23,0,21
2022-05-19,Cali,18,0,16
2022-05-20,Cali,23,0,21
2022-05-21,Cali,32,0,27
2022-05-22,Cali,21,0,19
2022-05-23,Cali,15,0,14
2022-05-24,Cali,27,0,24
2022-05-25,Cali,17,0,15
2022-05-26,Cali,17,0,15
2022-05-27,Cali,7,0,6
2022-05-28,Cali,29,0,27
